[2024-05-21T17:23:21.415+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2024-05-21T17:23:21.431+0000] {taskinstance.py:2073} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: games.get_matches_step manual__2024-05-21T17:23:09.981816+00:00 [queued]>
[2024-05-21T17:23:21.435+0000] {taskinstance.py:2073} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: games.get_matches_step manual__2024-05-21T17:23:09.981816+00:00 [queued]>
[2024-05-21T17:23:21.436+0000] {taskinstance.py:2303} INFO - Starting attempt 1 of 1
[2024-05-21T17:23:21.444+0000] {taskinstance.py:2327} INFO - Executing <Task(PythonOperator): get_matches_step> on 2024-05-21 17:23:09.981816+00:00
[2024-05-21T17:23:21.451+0000] {warnings.py:110} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:61: DeprecationWarning: This process (pid=76) is multi-threaded, use of fork() may lead to deadlocks in the child.
  pid = os.fork()

[2024-05-21T17:23:21.452+0000] {standard_task_runner.py:63} INFO - Started process 78 to run task
[2024-05-21T17:23:21.452+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'games', 'get_matches_step', 'manual__2024-05-21T17:23:09.981816+00:00', '--job-id', '534', '--raw', '--subdir', 'DAGS_FOLDER/get_main_games.py', '--cfg-path', '/tmp/tmpy5w97ola']
[2024-05-21T17:23:21.453+0000] {standard_task_runner.py:91} INFO - Job 534: Subtask get_matches_step
[2024-05-21T17:23:21.482+0000] {task_command.py:426} INFO - Running <TaskInstance: games.get_matches_step manual__2024-05-21T17:23:09.981816+00:00 [running]> on host beaa7b4b2f0d
[2024-05-21T17:23:21.533+0000] {taskinstance.py:2644} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='games' AIRFLOW_CTX_TASK_ID='get_matches_step' AIRFLOW_CTX_EXECUTION_DATE='2024-05-21T17:23:09.981816+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2024-05-21T17:23:09.981816+00:00'
[2024-05-21T17:23:21.533+0000] {taskinstance.py:430} INFO - ::endgroup::
[2024-05-21T17:24:32.252+0000] {warnings.py:110} WARNING - /opt/***/plugins/steps/get_matches.py:67: FutureWarning: The behavior of DataFrame concatenation with empty or all-NA entries is deprecated. In a future version, this will no longer exclude empty or all-NA columns when determining the result dtypes. To retain the old behavior, exclude the relevant entries before the concat operation.
  df_games = pd.concat([df_games, temp_df], ignore_index=True)

[2024-05-21T17:28:23.440+0000] {logging_mixin.py:188} INFO - 100
[2024-05-21T17:29:22.256+0000] {logging_mixin.py:188} INFO - 200
[2024-05-21T17:30:21.363+0000] {logging_mixin.py:188} INFO - 300
[2024-05-21T17:31:19.826+0000] {logging_mixin.py:188} INFO - 400
[2024-05-21T17:32:18.333+0000] {logging_mixin.py:188} INFO - 500
[2024-05-21T17:33:18.813+0000] {logging_mixin.py:188} INFO - 600
[2024-05-21T17:34:17.700+0000] {logging_mixin.py:188} INFO - 700
[2024-05-21T17:35:16.398+0000] {logging_mixin.py:188} INFO - 800
[2024-05-21T17:36:14.854+0000] {logging_mixin.py:188} INFO - 900
[2024-05-21T17:37:13.138+0000] {logging_mixin.py:188} INFO - 1000
[2024-05-21T17:38:21.024+0000] {logging_mixin.py:188} INFO - 1100
[2024-05-21T17:39:30.730+0000] {logging_mixin.py:188} INFO - 1200
[2024-05-21T17:40:38.553+0000] {logging_mixin.py:188} INFO - 1300
[2024-05-21T17:41:45.020+0000] {logging_mixin.py:188} INFO - 1400
[2024-05-21T17:42:51.394+0000] {logging_mixin.py:188} INFO - 1500
[2024-05-21T17:43:58.388+0000] {logging_mixin.py:188} INFO - 1600
[2024-05-21T17:45:04.463+0000] {logging_mixin.py:188} INFO - 1700
[2024-05-21T17:46:10.483+0000] {logging_mixin.py:188} INFO - 1800
[2024-05-21T17:47:18.804+0000] {logging_mixin.py:188} INFO - 1900
[2024-05-21T17:48:28.558+0000] {logging_mixin.py:188} INFO - 2000
[2024-05-21T17:49:36.025+0000] {logging_mixin.py:188} INFO - 2100
[2024-05-21T17:50:44.603+0000] {logging_mixin.py:188} INFO - 2200
[2024-05-21T17:51:49.777+0000] {logging_mixin.py:188} INFO - 2300
[2024-05-21T17:52:56.667+0000] {logging_mixin.py:188} INFO - 2400
[2024-05-21T17:54:03.530+0000] {logging_mixin.py:188} INFO - 2500
