[2024-05-23T15:33:00.192+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2024-05-23T15:33:00.204+0000] {taskinstance.py:2073} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: games.load_data manual__2024-05-23T15:28:03.754429+00:00 [queued]>
[2024-05-23T15:33:00.208+0000] {taskinstance.py:2073} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: games.load_data manual__2024-05-23T15:28:03.754429+00:00 [queued]>
[2024-05-23T15:33:00.209+0000] {taskinstance.py:2303} INFO - Starting attempt 1 of 1
[2024-05-23T15:33:00.215+0000] {taskinstance.py:2327} INFO - Executing <Task(PythonOperator): load_data> on 2024-05-23 15:28:03.754429+00:00
[2024-05-23T15:33:00.222+0000] {warnings.py:110} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:61: DeprecationWarning: This process (pid=156) is multi-threaded, use of fork() may lead to deadlocks in the child.
  pid = os.fork()

[2024-05-23T15:33:00.223+0000] {standard_task_runner.py:63} INFO - Started process 158 to run task
[2024-05-23T15:33:00.223+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'games', 'load_data', 'manual__2024-05-23T15:28:03.754429+00:00', '--job-id', '697', '--raw', '--subdir', 'DAGS_FOLDER/get_main_games.py', '--cfg-path', '/tmp/tmpn3phjhov']
[2024-05-23T15:33:00.224+0000] {standard_task_runner.py:91} INFO - Job 697: Subtask load_data
[2024-05-23T15:33:00.250+0000] {task_command.py:426} INFO - Running <TaskInstance: games.load_data manual__2024-05-23T15:28:03.754429+00:00 [running]> on host c80b0e71a0a8
[2024-05-23T15:33:00.302+0000] {taskinstance.py:2644} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='games' AIRFLOW_CTX_TASK_ID='load_data' AIRFLOW_CTX_EXECUTION_DATE='2024-05-23T15:28:03.754429+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2024-05-23T15:28:03.754429+00:00'
[2024-05-23T15:33:00.303+0000] {taskinstance.py:430} INFO - ::endgroup::
[2024-05-23T15:33:00.328+0000] {base.py:84} INFO - Using connection ID '***' for task execution.
[2024-05-23T15:33:00.330+0000] {logging_mixin.py:188} INFO - Столбец kickoff_millis содержит значение больше 2147483647
[2024-05-23T15:33:00.330+0000] {logging_mixin.py:188} INFO - Столбец kickoff_millis содержит значение больше 2147483647
