iter	MultiClass
0	1.098343015
1	1.098096489
2	1.097833103
3	1.097579982
4	1.097345684
5	1.097104207
6	1.096858077
7	1.096613425
8	1.096355239
9	1.096114433
10	1.095866919
11	1.095646744
12	1.095418746
13	1.095178697
14	1.094932845
15	1.094678896
16	1.094431414
17	1.094186193
18	1.093932487
19	1.09368979
20	1.093437785
21	1.09319193
22	1.092945707
23	1.092715408
24	1.092475734
25	1.092231848
26	1.092010419
27	1.091758525
28	1.091534722
29	1.091286837
30	1.091036825
31	1.090797588
32	1.090576341
33	1.090340279
34	1.090123544
35	1.08988352
36	1.089644267
37	1.089412532
38	1.089177233
39	1.088943157
40	1.088703308
41	1.088466499
42	1.088229038
43	1.088009056
44	1.087769971
45	1.087541656
46	1.087324462
47	1.087086115
48	1.086856654
49	1.086618046
50	1.086391347
51	1.086156069
52	1.08593981
53	1.085715761
54	1.085486936
55	1.08523172
56	1.085003576
57	1.084766327
58	1.084525738
59	1.084291076
60	1.08405917
61	1.083827958
62	1.083582014
63	1.083385911
64	1.08316155
65	1.082923131
66	1.082706753
67	1.08247948
68	1.082255894
69	1.082024608
70	1.081808373
71	1.081599216
72	1.081359014
73	1.081146305
74	1.080917144
75	1.080700868
76	1.080458335
77	1.080236199
78	1.080011965
79	1.079802633
80	1.079584462
81	1.079358098
82	1.079129052
83	1.078916838
84	1.078699314
85	1.078481506
86	1.078269646
87	1.078043354
88	1.07782583
89	1.07760368
90	1.077373194
91	1.077153348
92	1.076928679
93	1.076707602
94	1.076504086
95	1.076304102
96	1.076084052
97	1.075879555
98	1.075651318
99	1.075449089
100	1.075227408
101	1.075019783
102	1.074804536
103	1.074593085
104	1.074386221
105	1.07417413
106	1.073960294
107	1.073760288
108	1.07355562
109	1.073355461
110	1.073147927
111	1.072947257
112	1.072735911
113	1.072529143
114	1.072329838
115	1.072131696
116	1.071913507
117	1.071704022
118	1.071502155
119	1.07129596
120	1.071071349
121	1.070861337
122	1.070639123
123	1.070435908
124	1.070227661
125	1.07002865
126	1.069808122
127	1.069595207
128	1.069392787
129	1.069175229
130	1.068978749
131	1.068772263
132	1.068562834
133	1.068365421
134	1.06816549
135	1.067962984
136	1.067763346
137	1.067551899
138	1.067350037
139	1.067148845
140	1.066935073
141	1.066723087
142	1.066515896
143	1.066317258
144	1.066100733
145	1.065899983
146	1.065705463
147	1.065491814
148	1.065292628
149	1.065086559
150	1.064886809
151	1.064692098
152	1.064500323
153	1.064296477
154	1.06410027
155	1.063893037
156	1.063685916
157	1.063482785
158	1.063290363
159	1.063092039
160	1.062892405
161	1.062703372
162	1.06251623
163	1.06232512
164	1.062125287
165	1.061936492
166	1.061742425
167	1.061545769
168	1.061327612
169	1.061123815
170	1.060937151
171	1.060745908
172	1.060557456
173	1.060353037
174	1.06016452
175	1.059963459
176	1.059773399
177	1.059580617
178	1.059397893
179	1.059215929
180	1.059010521
181	1.05881963
182	1.058639426
183	1.058459547
184	1.058279001
185	1.058077057
186	1.057889525
187	1.057731214
188	1.057547676
189	1.057352103
190	1.057160284
191	1.05695643
192	1.056772699
193	1.056588501
194	1.056422254
195	1.056226865
196	1.056010992
197	1.055824728
198	1.055635449
199	1.055451664
200	1.055253993
201	1.055067772
202	1.054881056
203	1.054687691
204	1.05450173
205	1.054318519
206	1.054130702
207	1.053936689
208	1.053754848
209	1.053574276
210	1.053394173
211	1.053208952
212	1.053015384
213	1.052826005
214	1.052627782
215	1.05245357
216	1.052265325
217	1.052082753
218	1.051888498
219	1.051705684
220	1.051518048
221	1.051340101
222	1.051161931
223	1.050980163
224	1.050793293
225	1.05061298
226	1.050420829
227	1.050250407
228	1.050072727
229	1.049898429
230	1.049694753
231	1.049508569
232	1.049340934
233	1.049165436
234	1.048989567
235	1.048793635
236	1.048622364
237	1.048442973
238	1.048263024
239	1.048091795
240	1.047908871
