iter	Passed	Remaining
0	42	42913
1	82	41356
2	126	41969
3	167	41725
4	210	41790
5	249	41349
6	293	41656
7	334	41525
8	377	41555
9	417	41357
10	456	41078
11	496	40841
12	536	40707
13	576	40615
14	617	40580
15	659	40584
16	699	40473
17	740	40397
18	782	40417
19	823	40347
20	863	40262
21	902	40111
22	943	40080
23	982	39940
24	1025	39996
25	1073	40199
26	1131	40772
27	1174	40775
28	1214	40676
29	1257	40667
30	1300	40657
31	1342	40597
32	1383	40533
33	1422	40419
34	1464	40390
35	1505	40302
36	1545	40223
37	1584	40116
38	1627	40096
39	1668	40035
40	1710	40003
41	1750	39939
42	1789	39832
43	1829	39757
44	1871	39727
45	1912	39659
46	1953	39608
47	1994	39553
48	2035	39497
49	2076	39456
50	2115	39371
51	2154	39285
52	2196	39248
53	2234	39139
54	2274	39082
55	2315	39027
56	2356	38979
57	2401	38998
58	2441	38939
59	2481	38878
60	2521	38817
61	2561	38746
62	2601	38687
63	2643	38659
64	2685	38629
65	2725	38565
66	2762	38470
67	2803	38421
68	2844	38383
69	2883	38311
70	2923	38248
71	2963	38197
72	3006	38180
73	3048	38149
74	3088	38093
75	3129	38052
76	3171	38016
77	3214	37999
78	3255	37958
79	3298	37930
80	3339	37886
81	3380	37842
82	3418	37768
83	3461	37743
84	3503	37712
85	3544	37672
86	3586	37639
87	3627	37596
88	3671	37577
89	3711	37527
90	3751	37474
91	3791	37420
92	3830	37355
93	3871	37311
94	3912	37269
95	3950	37201
96	3992	37168
97	4033	37123
98	4075	37089
99	4117	37057
100	4159	37024
101	4200	36984
102	4244	36960
103	4284	36915
104	4326	36876
105	4365	36816
106	4406	36776
107	4453	36781
108	4493	36730
109	4533	36676
110	4575	36643
111	4614	36585
112	4656	36550
113	4697	36510
114	4738	36465
115	4778	36411
116	4817	36357
117	4857	36308
118	4896	36249
119	4935	36193
120	4976	36154
121	5016	36104
122	5055	36045
123	5097	36011
124	5137	35965
125	5177	35914
126	5220	35883
127	5260	35835
128	5301	35794
129	5339	35736
130	5379	35683
131	5421	35647
132	5462	35607
133	5502	35564
134	5542	35514
135	5585	35483
136	5625	35436
137	5671	35425
138	5712	35382
139	5752	35338
140	5794	35298
141	5835	35256
142	5876	35215
143	5917	35176
144	5957	35131
145	5999	35095
146	6041	35057
147	6082	35015
148	6127	34994
149	6171	34971
150	6216	34952
151	6258	34916
152	6300	34879
153	6342	34840
154	6382	34797
155	6422	34745
156	6464	34711
157	6507	34677
158	6549	34644
159	6593	34613
160	6635	34579
161	6674	34528
162	6717	34496
163	6760	34460
164	6801	34417
165	6842	34376
166	6886	34351
167	6930	34321
168	6976	34306
169	7022	34285
170	7068	34266
171	7110	34230
172	7154	34202
173	7198	34171
174	7243	34149
175	7286	34112
176	7330	34083
177	7370	34035
178	7412	33996
179	7455	33965
180	7496	33919
181	7538	33880
182	7580	33841
183	7621	33800
184	7662	33757
185	7708	33735
186	7751	33700
187	7795	33669
188	7839	33637
189	7882	33605
190	7923	33559
191	7964	33516
192	8007	33483
193	8050	33447
194	8092	33406
195	8134	33366
196	8177	33332
197	8217	33286
198	8259	33245
199	8300	33201
200	8341	33159
201	8385	33125
202	8426	33082
203	8468	33043
204	8510	33002
205	8552	32964
206	8596	32931
207	8638	32891
208	8681	32855
209	8720	32805
210	8763	32770
211	8804	32726
212	8848	32694
213	8891	32657
214	8933	32619
215	8977	32586
216	9019	32546
217	9064	32517
218	9107	32477
219	9150	32440
220	9194	32410
221	9236	32368
222	9279	32333
223	9322	32294
224	9367	32265
225	9409	32224
226	9451	32186
227	9491	32139
228	9534	32099
229	9584	32088
230	9627	32049
231	9671	32014
232	9713	31973
233	9755	31935
234	9800	31902
235	9845	31871
236	9888	31835
237	9932	31801
238	9978	31771
239	10023	31739
240	10064	31695
241	10105	31654
242	10148	31614
243	10191	31578
244	10231	31528
245	10273	31489
246	10314	31446
247	10356	31402
248	10397	31360
249	10440	31320
250	10481	31277
251	10523	31236
252	10566	31197
253	10609	31159
254	10649	31112
255	10691	31071
256	10731	31025
257	10771	30978
258	10814	30941
259	10856	30900
260	10898	30856
261	10940	30817
262	10983	30779
263	11027	30742
264	11067	30696
265	11106	30648
266	11145	30597
267	11189	30562
268	11231	30521
269	11272	30477
270	11314	30437
271	11356	30395
272	11396	30349
273	11435	30300
274	11477	30260
275	11525	30234
276	11566	30188
277	11608	30149
278	11647	30100
279	11689	30058
280	11732	30019
281	11774	29979
282	11815	29935
283	11857	29894
284	11900	29855
285	11942	29814
286	11983	29770
287	12025	29730
288	12065	29684
289	12107	29643
290	12147	29596
291	12189	29555
292	12231	29514
293	12274	29475
294	12316	29433
295	12358	29393
296	12403	29359
297	12446	29320
298	12490	29283
299	12531	29239
300	12571	29194
301	12616	29159
302	12661	29126
303	12704	29085
304	12746	29044
305	12790	29009
306	12837	28977
307	12882	28944
308	12927	28909
309	12974	28879
310	13024	28855
311	13083	28851
312	13135	28829
313	13183	28802
314	13231	28772
315	13278	28743
316	13327	28715
317	13373	28681
318	13418	28646
319	13463	28610
320	13511	28579
321	13557	28547
322	13602	28509
323	13645	28470
324	13686	28425
325	13728	28384
326	13735	28268
327	13782	28238
328	13827	28200
329	13868	28156
330	13915	28125
331	13959	28086
332	14003	28048
333	14047	28011
334	14103	27996
335	14163	27990
336	14214	27964
337	14273	27955
338	14317	27916
339	14363	27882
340	14409	27847
341	14452	27805
342	14500	27774
343	14543	27734
344	14590	27700
345	14634	27661
346	14678	27622
347	14724	27587
348	14770	27551
349	14816	27516
350	14857	27471
351	14899	27428
352	14944	27390
353	14989	27352
354	15031	27310
355	15073	27267
356	15119	27231
357	15166	27197
358	15208	27154
359	15249	27110
360	15290	27065
361	15330	27019
362	15372	26975
363	15413	26930
364	15455	26887
365	15496	26843
366	15541	26806
367	15583	26763
368	15590	26660
369	15632	26616
370	15673	26572
371	15714	26529
372	15757	26487
373	15796	26440
374	15841	26402
375	15887	26365
376	15929	26323
377	15970	26280
378	16015	26240
379	16056	26197
380	16099	26155
381	16144	26117
382	16185	26075
383	16227	26031
384	16267	25986
385	16308	25940
386	16351	25899
387	16394	25859
388	16440	25823
389	16483	25781
390	16528	25743
391	16572	25704
392	16617	25666
393	16666	25634
394	16709	25593
395	16752	25551
396	16796	25512
397	16840	25473
398	16883	25430
399	16929	25393
400	16974	25355
401	17019	25317
402	17063	25277
403	17110	25242
404	17156	25204
405	17202	25168
406	17246	25128
407	17290	25087
408	17334	25048
409	17377	25007
410	17421	24967
411	17467	24928
412	17510	24887
413	17551	24843
414	17595	24803
415	17642	24767
416	17686	24726
417	17725	24680
418	17768	24637
419	17806	24590
420	17846	24544
421	17889	24502
422	17933	24462
423	17977	24422
424	18025	24386
425	18063	24338
426	18105	24295
427	18146	24251
428	18187	24207
429	18227	24162
430	18268	24118
431	18312	24077
432	18355	24035
433	18400	23996
434	18445	23958
435	18490	23918
436	18532	23875
437	18576	23835
438	18621	23796
439	18667	23758
440	18712	23718
441	18753	23674
442	18799	23636
443	18844	23598
444	18891	23561
445	18934	23519
446	18979	23480
447	19033	23452
448	19080	23415
449	19129	23380
450	19179	23346
451	19236	23321
452	19285	23287
453	19336	23254
454	19384	23218
455	19430	23180
456	19481	23147
457	19526	23108
458	19568	23064
459	19613	23024
460	19656	22982
461	19703	22944
462	19746	22902
463	19789	22860
464	19833	22819
465	19880	22781
466	19922	22738
467	19966	22696
468	20017	22663
469	20063	22625
470	20114	22591
471	20175	22569
472	20221	22530
473	20265	22488
474	20311	22449
475	20357	22410
476	20404	22372
477	20446	22329
478	20495	22292
479	20546	22259
480	20596	22223
481	20646	22188
482	20700	22157
483	20751	22123
484	20801	22087
485	20849	22050
486	20899	22014
487	20948	21978
488	21021	21967
489	21072	21932
490	21121	21896
491	21168	21856
492	21214	21816
493	21262	21778
494	21309	21739
495	21358	21703
496	21407	21665
497	21454	21626
498	21501	21587
499	21542	21542
500	21584	21498
501	21628	21456
502	21673	21415
503	21717	21373
504	21761	21331
505	21809	21292
506	21853	21249
507	21898	21208
508	21942	21166
509	21987	21124
510	22033	21084
511	22076	21042
512	22119	20998
513	22162	20955
514	22210	20916
515	22253	20873
516	22297	20831
517	22340	20788
518	22386	20747
519	22429	20704
520	22474	20663
521	22521	20623
522	22564	20580
523	22611	20540
524	22655	20498
525	22700	20455
526	22744	20414
527	22790	20373
528	22836	20332
529	22881	20290
530	22927	20250
531	22969	20206
532	23013	20163
533	23058	20122
534	23103	20080
535	23149	20040
536	23195	19999
537	23243	19959
538	23293	19922
539	23344	19886
540	23390	19844
541	23434	19802
542	23485	19765
543	23541	19733
544	23588	19693
545	23628	19646
546	23671	19603
547	23710	19557
548	23752	19512
549	23795	19469
550	23836	19423
551	23875	19377
552	23914	19330
553	23956	19286
554	23997	19241
555	24049	19205
556	24093	19161
557	24137	19119
558	24180	19075
559	24221	19031
560	24262	18986
561	24305	18942
562	24345	18897
563	24390	18854
564	24436	18813
565	24480	18771
566	24526	18730
567	24576	18692
568	24618	18647
569	24660	18603
570	24702	18559
571	24741	18513
572	24786	18471
573	24828	18426
574	24872	18384
575	24913	18339
576	24953	18293
577	24993	18247
578	25039	18206
579	25083	18163
580	25127	18121
581	25173	18079
582	25214	18035
583	25260	17993
584	25306	17952
585	25348	17908
586	25391	17864
587	25436	17822
588	25479	17779
589	25522	17736
590	25569	17695
591	25611	17650
592	25664	17614
593	25712	17574
594	25754	17530
595	25795	17485
596	25837	17441
597	25882	17399
598	25926	17356
599	25972	17315
600	26017	17272
601	26067	17233
602	26111	17190
603	26156	17148
604	26200	17106
605	26243	17062
606	26289	17021
607	26335	16979
608	26380	16937
609	26422	16892
610	26466	16850
611	26514	16809
612	26559	16767
613	26606	16726
614	26649	16683
615	26694	16640
616	26732	16594
617	26773	16549
618	26814	16504
619	26854	16459
620	26897	16415
621	26939	16371
622	26981	16327
623	27029	16287
624	27075	16245
625	27114	16199
626	27157	16155
627	27203	16113
628	27242	16068
629	27287	16025
630	27329	15981
631	27370	15937
632	27413	15893
633	27459	15852
634	27502	15808
635	27544	15764
636	27587	15720
637	27628	15676
638	27669	15631
639	27713	15588
640	27755	15544
641	27796	15500
642	27839	15456
643	27881	15412
644	27923	15368
645	27963	15323
646	28003	15278
647	28043	15233
648	28087	15190
649	28127	15145
650	28168	15100
651	28207	15055
652	28249	15011
653	28289	14966
654	28332	14923
655	28375	14880
656	28415	14834
657	28457	14791
658	28499	14747
659	28543	14704
660	28589	14662
661	28631	14618
662	28675	14575
663	28717	14531
664	28761	14489
