iter	MultiClass
0	1.098212301
1	1.097782397
2	1.09726469
3	1.096732184
4	1.096284655
5	1.095810781
6	1.095368146
7	1.094968767
8	1.094363003
9	1.09392394
10	1.093457602
11	1.092854701
12	1.092440373
13	1.09186428
14	1.091431008
15	1.091043369
16	1.090618959
17	1.090247969
18	1.089816332
19	1.089228091
20	1.088874458
21	1.08845884
22	1.088074006
23	1.087646985
24	1.087247762
25	1.086859594
26	1.086464178
27	1.085940395
28	1.085558593
29	1.085042676
30	1.084747969
31	1.084374843
32	1.084033655
33	1.083534367
34	1.08315337
35	1.082711858
36	1.08235054
37	1.081907868
38	1.081523765
39	1.081114229
40	1.080640837
41	1.080283948
42	1.079937026
43	1.0795689
44	1.079196427
45	1.078849544
46	1.078508201
47	1.078132479
48	1.077784786
49	1.077487351
50	1.077140239
51	1.076752294
52	1.076295974
53	1.075912439
54	1.075457843
55	1.074942404
56	1.074560989
57	1.074238321
58	1.07390083
59	1.073544269
60	1.07313673
61	1.072792946
62	1.072497648
63	1.0721391
64	1.07180145
65	1.071440717
66	1.071084675
67	1.070764772
68	1.070374824
69	1.070022494
70	1.069671233
71	1.069354964
72	1.069024604
73	1.068600585
74	1.068274952
75	1.067950759
76	1.067640884
77	1.067322175
78	1.067011294
79	1.066720831
80	1.066284756
81	1.065929738
82	1.065624125
83	1.065278265
84	1.064909795
85	1.064593258
86	1.064198761
87	1.063891318
88	1.063601274
89	1.063268574
90	1.062982004
91	1.062566827
92	1.062252864
93	1.06186876
94	1.061535892
95	1.061194597
96	1.060870008
97	1.060522774
98	1.060248747
99	1.059934536
100	1.059606461
101	1.05935915
102	1.059013204
103	1.058622236
104	1.058264246
105	1.057918655
106	1.057572811
107	1.057301107
108	1.056958689
109	1.056601324
110	1.056316551
111	1.056050844
112	1.055750561
113	1.055489532
114	1.055204131
115	1.054925526
116	1.054662507
117	1.054373574
118	1.054071488
119	1.053763307
120	1.053501806
121	1.053153096
122	1.052835565
123	1.052532899
124	1.052288446
125	1.051934371
126	1.051649111
127	1.051412386
128	1.051136113
129	1.050834381
130	1.050570873
131	1.050273614
132	1.050045713
133	1.049729192
134	1.04945574
135	1.04915717
136	1.048913335
137	1.048616877
138	1.048345659
139	1.048077073
140	1.047825344
141	1.047542577
142	1.047248304
143	1.047036471
144	1.046793169
145	1.046489986
146	1.046207206
147	1.045968553
148	1.04567914
149	1.045420768
150	1.045203704
151	1.044912229
152	1.044652255
153	1.044325925
154	1.044102164
155	1.043854359
156	1.043645039
157	1.043375396
158	1.043145006
159	1.042880199
160	1.04262207
161	1.042382189
162	1.042113873
163	1.04185938
164	1.041637303
165	1.041392996
166	1.041314773
167	1.041050919
168	1.040824504
169	1.040534202
170	1.040287143
171	1.040042461
172	1.039790257
173	1.039497069
174	1.039260751
175	1.039009933
176	1.03875109
177	1.038528642
178	1.038245492
179	1.0380274
180	1.037818113
181	1.037624033
182	1.037401387
183	1.03711992
184	1.036875419
185	1.03659623
186	1.036348481
187	1.036096132
