iter	Passed	Remaining
0	100	100634
1	150	74872
2	201	66876
3	253	63047
4	306	61014
5	367	60839
6	421	59768
7	475	58933
8	532	58616
9	582	57708
10	634	57041
11	686	56533
12	738	56099
13	791	55720
14	843	55403
15	895	55068
16	949	54883
17	1000	54571
18	1052	54343
19	1104	54117
20	1156	53905
21	1208	53705
22	1261	53565
23	1313	53411
24	1365	53269
25	1419	53194
26	1471	53030
27	1523	52888
28	1578	52840
29	1629	52685
30	1683	52620
31	1738	52588
32	1792	52539
33	1851	52612
34	1909	52635
35	1959	52479
36	2010	52331
37	2061	52186
38	2113	52077
39	2167	52011
40	2218	51898
41	2270	51799
42	2323	51712
43	2375	51607
44	2429	51557
45	2483	51511
46	2538	51469
47	2592	51422
48	2649	51415
49	2705	51404
50	2758	51333
51	2808	51210
52	2867	51243
53	2924	51236
54	2978	51183
55	3030	51079
56	3085	51041
57	3138	50967
58	3189	50871
59	3240	50761
60	3291	50671
61	3342	50570
62	3393	50473
63	3445	50383
64	3497	50303
65	3551	50261
66	3601	50156
67	3654	50084
68	3705	49995
69	3758	49937
70	3810	49859
71	3861	49770
72	3912	49677
73	3963	49596
74	4014	49513
75	4065	49426
76	4116	49344
77	4168	49279
78	4221	49211
79	4273	49142
80	4324	49064
81	4376	48999
82	4426	48907
83	4477	48829
84	4529	48755
85	4582	48699
86	4634	48640
87	4688	48585
88	4739	48517
89	4791	48447
90	4844	48394
91	4896	48325
92	4946	48245
93	4997	48163
94	5048	48093
95	5098	48012
96	5150	47945
97	5201	47878
98	5254	47818
99	5305	47747
100	5356	47681
101	5408	47613
102	5459	47545
103	5509	47467
104	5561	47403
105	5612	47332
106	5667	47297
107	5719	47235
108	5769	47165
109	5821	47101
110	5871	47027
111	5922	46958
112	5974	46898
113	6025	46831
114	6076	46762
115	6127	46693
116	6178	46626
117	6229	46564
118	6280	46499
119	6332	46435
120	6382	46367
121	6434	46310
122	6485	46238
123	6536	46179
124	6588	46117
125	6640	46062
126	6691	45996
127	6747	45968
128	6797	45897
129	6850	45845
130	6902	45788
131	6954	45732
132	7006	45676
133	7058	45617
134	7109	45551
135	7160	45491
136	7210	45422
137	7262	45365
138	7313	45303
139	7365	45247
140	7415	45177
141	7467	45120
142	7517	45054
143	7568	44993
144	7620	44934
145	7672	44878
146	7723	44816
147	7775	44761
148	7829	44719
149	7881	44659
150	7932	44602
151	7984	44545
152	8037	44495
153	8090	44447
154	8142	44390
155	8193	44327
156	8243	44264
157	8294	44200
158	8346	44145
