iter	MultiClass
0	1.084104136
1	1.0693731
2	1.057245546
3	1.047350316
4	1.03889585
5	1.031184499
6	1.02480488
7	1.018976943
8	1.014317054
9	1.009670264
10	1.006980213
11	1.002402272
12	0.998976066
13	0.9958513178
14	0.9938180758
15	0.9902704447
16	0.9881259185
17	0.9855756607
18	0.9820096709
19	0.9792771076
20	0.9780471049
21	0.9759707343
22	0.9741724624
23	0.9722199808
24	0.9698685535
25	0.9679384427
26	0.9673571028
27	0.9656044354
28	0.964452609
29	0.9635958643
30	0.9613115089
31	0.9597991884
32	0.9585657118
33	0.9571258517
34	0.9552656613
35	0.9531338953
36	0.9521365638
37	0.9509350022
38	0.9488632333
39	0.9472236757
40	0.9453865648
41	0.9441823168
42	0.9431865946
43	0.9425346276
44	0.9421965161
45	0.942058213
46	0.9410923289
47	0.9398352145
48	0.9389115205
49	0.9377859715
50	0.9369472578
51	0.9360100113
52	0.9345534335
53	0.9340947175
54	0.9332908455
55	0.9325655396
56	0.9319666274
57	0.9304125319
58	0.9300282343
59	0.9292172262
60	0.9276508884
61	0.926019919
62	0.9251148675
63	0.9251078935
64	0.9239290729
65	0.9225492626
66	0.9220798128
67	0.9209114808
68	0.920372444
69	0.9194978051
70	0.9190526294
71	0.9186318147
72	0.9176495307
73	0.9167522073
74	0.9159704907
75	0.9152555707
76	0.9141617929
77	0.9126951531
78	0.9119454879
79	0.9104755945
80	0.9101102076
81	0.9099359753
82	0.9093342047
83	0.9089287851
84	0.9081289163
85	0.9068286291
86	0.9051929334
87	0.9046321723
88	0.9039531436
89	0.9032076693
90	0.9024937858
91	0.9015448877
92	0.9008224721
93	0.9001712517
94	0.8997858156
95	0.8992188804
96	0.898083085
97	0.8970641714
98	0.8961883802
99	0.8954459691
100	0.8944657015
101	0.8936963309
102	0.8927291282
103	0.8913853283
104	0.890890633
105	0.8905371937
106	0.8900346451
107	0.8894075017
108	0.8888075994
109	0.8878816504
110	0.8871068717
111	0.8866046231
112	0.8854370784
113	0.884792174
114	0.8831458592
115	0.8824262237
116	0.8817682625
117	0.8808705
118	0.8799680611
119	0.8789476484
120	0.877921782
121	0.877495379
122	0.8757778329
123	0.8743744402
124	0.8731268253
125	0.8722475874
126	0.8718053444
127	0.8708794462
128	0.8698136442
129	0.8692526069
130	0.8682299804
131	0.8678637918
132	0.8666799207
133	0.8658309747
134	0.8653199499
135	0.8641395992
136	0.8633739466
137	0.8628957446
138	0.8621512812
139	0.8610414418
140	0.860473873
141	0.8587444499
142	0.8577929655
143	0.8573199138
144	0.8566249109
145	0.8555883455
146	0.8543166058
147	0.8537676221
148	0.8521760221
149	0.851508845
150	0.8511083534
151	0.8503505585
152	0.8497208148
153	0.8488627483
154	0.8484157543
155	0.8476697063
156	0.8466940355
157	0.8460369291
158	0.8453065446
159	0.8444935451
160	0.8433034164
161	0.8424445641
162	0.8416064943
163	0.8408698167
164	0.8401884113
165	0.8396845433
166	0.8390247073
167	0.8376785709
168	0.8368291827
169	0.836349714
170	0.8353873006
171	0.8347314511
172	0.834361435
173	0.8338921055
174	0.8335249025
175	0.832303728
176	0.831256043
177	0.8306138779
178	0.8301248371
179	0.8295662091
180	0.8292802698
181	0.8286878891
182	0.8277409382
183	0.8270536786
184	0.8265579594
185	0.8260594885
186	0.8251445496
187	0.8247022822
188	0.8240818028
189	0.8236388865
190	0.8231426971
191	0.8220363028
192	0.8216952952
193	0.8202388018
194	0.8196653731
195	0.8192570031
196	0.8183336694
197	0.8177464241
198	0.817356346
199	0.8162618398
200	0.8150496631
201	0.8146592918
202	0.8143236072
203	0.8136881943
204	0.8129454406
205	0.8122524766
206	0.8117038111
207	0.8111453846
208	0.8106628055
209	0.810000806
210	0.8089018183
211	0.8081299922
212	0.8073523629
213	0.8066988632
214	0.8057759538
215	0.804633701
216	0.8037727446
217	0.803148578
218	0.8026145091
219	0.8020154598
220	0.8013555065
221	0.8005933694
222	0.7995860458
223	0.7987610709
