iter	Passed	Remaining
0	3	3089
1	5	2741
2	9	3290
3	12	3020
4	14	2931
5	17	2838
6	19	2701
7	20	2581
8	22	2505
9	24	2420
10	26	2347
11	32	2660
12	35	2663
13	37	2652
14	39	2597
15	41	2538
16	43	2488
17	44	2437
18	46	2390
19	50	2486
20	55	2584
21	58	2599
22	60	2558
23	62	2523
24	64	2497
25	65	2461
26	67	2426
27	71	2486
28	76	2548
29	78	2545
30	80	2516
31	82	2500
32	84	2468
33	85	2440
34	87	2413
35	93	2491
36	96	2502
37	98	2497
38	100	2474
39	102	2457
40	104	2434
41	105	2411
42	107	2392
43	114	2479
44	116	2466
45	118	2459
46	120	2445
47	122	2426
48	124	2408
49	125	2389
50	127	2372
51	134	2445
52	137	2454
53	139	2438
54	141	2424
55	142	2406
56	144	2388
57	146	2371
58	152	2434
59	156	2454
60	158	2440
61	160	2428
62	162	2410
63	163	2394
64	165	2379
65	171	2426
66	175	2437
67	177	2434
68	179	2422
69	181	2407
70	182	2391
71	184	2377
72	187	2385
73	191	2394
74	194	2395
75	196	2387
76	198	2373
77	199	2362
78	201	2348
79	203	2335
80	204	2323
81	209	2342
82	211	2335
83	215	2344
84	216	2333
85	218	2324
86	220	2313
87	222	2302
88	223	2290
89	225	2279
90	228	2279
91	231	2281
92	233	2281
93	236	2275
94	237	2265
95	239	2257
96	241	2246
97	242	2230
98	243	2220
99	247	2225
100	252	2245
101	254	2244
102	256	2236
103	258	2230
104	260	2222
105	262	2213
106	264	2205
107	269	2225
108	272	2227
109	275	2225
110	276	2216
111	278	2208
112	280	2198
113	281	2188
114	283	2179
115	286	2182
116	290	2195
117	293	2193
118	295	2186
119	297	2179
120	298	2165
121	299	2157
122	301	2149
123	303	2140
124	307	2149
125	309	2148
126	312	2148
127	314	2142
128	316	2134
129	318	2128
130	319	2120
131	321	2112
132	322	2105
133	330	2134
134	332	2130
135	334	2123
136	335	2115
137	337	2108
138	339	2101
139	340	2093
140	342	2086
141	348	2107
142	352	2109
143	354	2106
144	356	2101
145	358	2094
146	359	2086
147	361	2079
148	364	2082
149	369	2092
150	371	2090
151	373	2084
152	375	2077
153	377	2071
154	378	2064
155	380	2057
156	382	2051
157	391	2084
158	393	2078
159	394	2072
160	396	2066
161	398	2059
162	400	2055
163	406	2071
164	410	2074
165	412	2072
166	414	2066
167	416	2063
168	418	2056
169	419	2050
170	422	2050
171	427	2055
172	431	2061
173	433	2056
174	435	2052
175	437	2047
176	439	2042
177	445	2059
178	448	2055
179	450	2051
180	452	2045
181	454	2041
182	456	2036
183	457	2029
184	459	2023
185	461	2017
186	464	2018
187	470	2032
188	473	2031
189	475	2027
190	477	2021
191	478	2015
192	480	2009
193	482	2003
194	487	2012
195	491	2014
196	493	2011
197	495	2006
198	496	2000
199	498	1994
200	500	1988
201	501	1982
202	506	1987
203	509	1987
204	512	1986
205	514	1982
206	516	1977
207	517	1971
208	519	1966
209	521	1960
210	525	1965
211	528	1965
212	531	1964
213	534	1962
214	535	1956
215	537	1951
216	539	1946
