gameweek_gameweek,gameweek_compSeason_label,teams_team_1_name,teams_team_2_name,ground_name,team_1_hue,_accurate_back_zone_pass_team_1,_accurate_chipped_pass_team_1,_accurate_corners_intobox_team_1,_accurate_cross_team_1,_accurate_freekick_cross_team_1,_accurate_goal_kicks_team_1,_accurate_keeper_sweeper_team_1,_accurate_keeper_throws_team_1,_accurate_long_balls_team_1,_accurate_pull_back_team_1,_accurate_through_ball_team_1,_accurate_throws_team_1,_attempted_tackle_foul_team_1,_att_cmiss_high_team_1,_att_fastbreak_team_1,_att_goal_high_centre_team_1,_att_hd_goal_team_1,_att_hd_post_team_1,_att_hd_target_team_1,_att_ibox_post_team_1,_att_miss_high_left_team_1,_att_miss_high_right_team_1,_att_pen_goal_team_1,_att_post_left_team_1,_att_sv_high_centre_team_1,_att_sv_high_left_team_1,_att_sv_high_right_team_1,_ball_recovery_team_1,_blocked_pass_team_1,_challenge_lost_team_1,_clearance_off_line_team_1,_contentious_decision_team_1,_crosses_18yard_team_1,_crosses_18yardplus_team_1,_defender_goals_team_1,_dispossessed_team_1,_draws_team_1,_duel_lost_team_1,_duel_won_team_1,_error_lead_to_goal_team_1,_error_lead_to_shot_team_1,_fk_foul_won_team_1,_fouled_final_third_team_1,_goals_conceded_obox_team_1,_goal_assist_deadball_team_1,_goal_assist_setplay_team_1,_goal_fastbreak_team_1,_good_high_claim_team_1,_hand_ball_team_1,_interception_team_1,_last_man_tackle_team_1,_long_pass_own_to_opp_team_1,_midfielder_goals_team_1,_overrun_team_1,_own_goal_accrued_team_1,_penalty_conceded_team_1,_poss_won_def_3rd_team_1,_pts_dropped_winning_pos_team_1,_pts_gained_losing_pos_team_1,_punches_team_1,_put_through_team_1,_second_yellow_team_1,_shield_ball_oop_team_1,_six_yard_block_team_1,_subs_goals_team_1,_subs_made_team_1,_successful_put_through_team_1,_total_chipped_pass_team_1,_total_contest_team_1,_total_offside_team_1,_total_red_card_team_1,_total_yel_card_team_1,_unsuccessful_touch_team_1,_accurate_back_zone_pass_team_2,_accurate_chipped_pass_team_2,_accurate_corners_intobox_team_2,_accurate_cross_team_2,_accurate_freekick_cross_team_2,_accurate_goal_kicks_team_2,_accurate_keeper_sweeper_team_2,_accurate_keeper_throws_team_2,_accurate_long_balls_team_2,_accurate_pull_back_team_2,_accurate_through_ball_team_2,_accurate_throws_team_2,_attempted_tackle_foul_team_2,_att_cmiss_high_team_2,_att_fastbreak_team_2,_att_goal_high_centre_team_2,_att_hd_goal_team_2,_att_hd_post_team_2,_att_hd_target_team_2,_att_ibox_post_team_2,_att_miss_high_left_team_2,_att_miss_high_right_team_2,_att_pen_goal_team_2,_att_post_left_team_2,_att_sv_high_centre_team_2,_att_sv_high_left_team_2,_att_sv_high_right_team_2,_ball_recovery_team_2,_blocked_pass_team_2,_challenge_lost_team_2,_clearance_off_line_team_2,_contentious_decision_team_2,_crosses_18yard_team_2,_crosses_18yardplus_team_2,_defender_goals_team_2,_dispossessed_team_2,_draws_team_2,_duel_lost_team_2,_duel_won_team_2,_error_lead_to_goal_team_2,_error_lead_to_shot_team_2,_fk_foul_won_team_2,_fouled_final_third_team_2,_goals_conceded_obox_team_2,_goal_assist_deadball_team_2,_goal_assist_setplay_team_2,_goal_fastbreak_team_2,_good_high_claim_team_2,_hand_ball_team_2,_interception_team_2,_last_man_tackle_team_2,_long_pass_own_to_opp_team_2,_midfielder_goals_team_2,_overrun_team_2,_own_goal_accrued_team_2,_penalty_conceded_team_2,_poss_won_def_3rd_team_2,_pts_dropped_winning_pos_team_2,_pts_gained_losing_pos_team_2,_punches_team_2,_put_through_team_2,_second_yellow_team_2,_shield_ball_oop_team_2,_six_yard_block_team_2,_subs_goals_team_2,_subs_made_team_2,_successful_put_through_team_2,_total_chipped_pass_team_2,_total_contest_team_2,_total_offside_team_2,_total_red_card_team_2,_total_yel_card_team_2,_unsuccessful_touch_team_2
18,2023,West Ham United,Manchester United,London Stadium,1,5829.5,648.75,50.75,169.5,13.75,185.25,7.5,155.5,964.5,9.75,12.5,622.75,202.75,11.0,21.5,3.75,9.5,3.75,25.25,8.25,13.0,19.5,4.0,4.5,14.5,7.5,5.75,2284.0,563.5,350.75,3.0,15.0,368.5,182.75,7.5,322.5,8.0,1941.25,1935.75,4.75,6.0,322.25,72.5,7.0,7.0,9.5,4.0,22.25,19.5,410.0,3.027027027027027,2475.0,25.75,44.25,2.068840579710145,6.0,1028.75,17.25,12.0,15.5,631.5,1.3953488372093024,17.0,14.25,4.214285714285714,108.25,267.0,1405.0,566.25,65.25,2.625,50.25,491.5,7892.25,745.5,50.25,137.0,11.75,215.75,10.25,140.5,955.75,8.25,39.5,672.5,245.75,14.5,22.75,4.25,8.0,1.5905797101449275,15.5,6.0,14.0,19.0,6.5,2.75,17.75,8.75,7.75,2297.25,603.25,340.5,4.177631578947368,17.75,250.25,170.5,3.75,345.5,9.75,1845.5,1872.75,5.25,11.0,361.0,79.5,6.0,4.0,5.5,6.5,11.5,12.0,364.25,1.75,2259.5,33.75,56.25,2.0,4.0,1016.75,11.5,16.25,10.75,689.25,1.4360465116279069,21.5,15.0,4.964285714285714,120.25,296.0,1467.75,686.5,75.0,1.875,72.5,532.5
35,2022,West Ham United,Manchester United,London Stadium,1,5829.5,648.75,50.75,169.5,13.75,185.25,7.5,155.5,964.5,9.75,12.5,622.75,202.75,11.0,21.5,3.75,9.5,3.75,25.25,8.25,13.0,19.5,4.0,4.5,14.5,7.5,5.75,2284.0,563.5,350.75,3.0,15.0,368.5,182.75,7.5,322.5,8.0,1941.25,1935.75,4.75,6.0,322.25,72.5,7.0,7.0,9.5,4.0,22.25,19.5,410.0,3.027027027027027,2475.0,25.75,44.25,2.068840579710145,6.0,1028.75,17.25,12.0,15.5,631.5,1.3953488372093024,17.0,14.25,4.214285714285714,108.25,267.0,1405.0,566.25,65.25,2.625,50.25,491.5,7892.25,745.5,50.25,137.0,11.75,215.75,10.25,140.5,955.75,8.25,39.5,672.5,245.75,14.5,22.75,4.25,8.0,1.5905797101449275,15.5,6.0,14.0,19.0,6.5,2.75,17.75,8.75,7.75,2297.25,603.25,340.5,4.177631578947368,17.75,250.25,170.5,3.75,345.5,9.75,1845.5,1872.75,5.25,11.0,361.0,79.5,6.0,4.0,5.5,6.5,11.5,12.0,364.25,1.75,2259.5,33.75,56.25,2.0,4.0,1016.75,11.5,16.25,10.75,689.25,1.4360465116279069,21.5,15.0,4.964285714285714,120.25,296.0,1467.75,686.5,75.0,1.875,72.5,532.5
5,2021,West Ham United,Manchester United,London Stadium,0,5829.5,648.75,50.75,169.5,13.75,185.25,7.5,155.5,964.5,9.75,12.5,622.75,202.75,11.0,21.5,3.75,9.5,3.75,25.25,8.25,13.0,19.5,4.0,4.5,14.5,7.5,5.75,2284.0,563.5,350.75,3.0,15.0,368.5,182.75,7.5,322.5,8.0,1941.25,1935.75,4.75,6.0,322.25,72.5,7.0,7.0,9.5,4.0,22.25,19.5,410.0,3.027027027027027,2475.0,25.75,44.25,2.068840579710145,6.0,1028.75,17.25,12.0,15.5,631.5,1.3953488372093024,17.0,14.25,4.214285714285714,108.25,267.0,1405.0,566.25,65.25,2.625,50.25,491.5,7892.25,745.5,50.25,137.0,11.75,215.75,10.25,140.5,955.75,8.25,39.5,672.5,245.75,14.5,22.75,4.25,8.0,1.5905797101449275,15.5,6.0,14.0,19.0,6.5,2.75,17.75,8.75,7.75,2297.25,603.25,340.5,4.177631578947368,17.75,250.25,170.5,3.75,345.5,9.75,1845.5,1872.75,5.25,11.0,361.0,79.5,6.0,4.0,5.5,6.5,11.5,12.0,364.25,1.75,2259.5,33.75,56.25,2.0,4.0,1016.75,11.5,16.25,10.75,689.25,1.4360465116279069,21.5,15.0,4.964285714285714,120.25,296.0,1467.75,686.5,75.0,1.875,72.5,532.5
11,2020,West Ham United,Manchester United,London Stadium,0,5829.5,648.75,50.75,169.5,13.75,185.25,7.5,155.5,964.5,9.75,12.5,622.75,202.75,11.0,21.5,3.75,9.5,3.75,25.25,8.25,13.0,19.5,4.0,4.5,14.5,7.5,5.75,2284.0,563.5,350.75,3.0,15.0,368.5,182.75,7.5,322.5,8.0,1941.25,1935.75,4.75,6.0,322.25,72.5,7.0,7.0,9.5,4.0,22.25,19.5,410.0,3.027027027027027,2475.0,25.75,44.25,2.068840579710145,6.0,1028.75,17.25,12.0,15.5,631.5,1.3953488372093024,17.0,14.25,4.214285714285714,108.25,267.0,1405.0,566.25,65.25,2.625,50.25,491.5,7892.25,745.5,50.25,137.0,11.75,215.75,10.25,140.5,955.75,8.25,39.5,672.5,245.75,14.5,22.75,4.25,8.0,1.5905797101449275,15.5,6.0,14.0,19.0,6.5,2.75,17.75,8.75,7.75,2297.25,603.25,340.5,4.177631578947368,17.75,250.25,170.5,3.75,345.5,9.75,1845.5,1872.75,5.25,11.0,361.0,79.5,6.0,4.0,5.5,6.5,11.5,12.0,364.25,1.75,2259.5,33.75,56.25,2.0,4.0,1016.75,11.5,16.25,10.75,689.25,1.4360465116279069,21.5,15.0,4.964285714285714,120.25,296.0,1467.75,686.5,75.0,1.875,72.5,532.5
6,2019,West Ham United,Manchester United,London Stadium,1,5829.5,648.75,50.75,169.5,13.75,185.25,7.5,155.5,964.5,9.75,12.5,622.75,202.75,11.0,21.5,3.75,9.5,3.75,25.25,8.25,13.0,19.5,4.0,4.5,14.5,7.5,5.75,2284.0,563.5,350.75,3.0,15.0,368.5,182.75,7.5,322.5,8.0,1941.25,1935.75,4.75,6.0,322.25,72.5,7.0,7.0,9.5,4.0,22.25,19.5,410.0,3.027027027027027,2475.0,25.75,44.25,2.068840579710145,6.0,1028.75,17.25,12.0,15.5,631.5,1.3953488372093024,17.0,14.25,4.214285714285714,108.25,267.0,1405.0,566.25,65.25,2.625,50.25,491.5,7892.25,745.5,50.25,137.0,11.75,215.75,10.25,140.5,955.75,8.25,39.5,672.5,245.75,14.5,22.75,4.25,8.0,1.5905797101449275,15.5,6.0,14.0,19.0,6.5,2.75,17.75,8.75,7.75,2297.25,603.25,340.5,4.177631578947368,17.75,250.25,170.5,3.75,345.5,9.75,1845.5,1872.75,5.25,11.0,361.0,79.5,6.0,4.0,5.5,6.5,11.5,12.0,364.25,1.75,2259.5,33.75,56.25,2.0,4.0,1016.75,11.5,16.25,10.75,689.25,1.4360465116279069,21.5,15.0,4.964285714285714,120.25,296.0,1467.75,686.5,75.0,1.875,72.5,532.5
17,2023,Liverpool,Manchester United,Anfield,2,9401.25,967.75,64.25,195.5,16.0,177.25,31.0,205.0,1146.75,9.75,37.0,740.0,212.0,15.5,26.5,6.0,15.75,2.25,23.0,7.75,20.75,25.75,5.0,3.5,20.0,9.75,9.0,2470.75,568.75,351.5,3.5,14.5,352.5,249.5,8.75,368.25,7.5,1878.5,1784.75,6.25,12.5,303.75,81.75,4.25,6.75,12.0,7.0,19.5,18.25,343.25,4.777027027027027,2887.25,10.5,59.5,2.818840579710145,4.9303797468354436,896.25,9.25,18.25,17.5,633.25,1.5813953488372092,18.0,18.5,4.714285714285714,126.5,268.75,1911.0,648.0,66.25,1.375,46.25,593.25,7892.25,745.5,50.25,137.0,11.75,215.75,10.25,140.5,955.75,8.25,39.5,672.5,245.75,14.5,22.75,4.25,8.0,1.5905797101449275,15.5,6.0,14.0,19.0,6.5,2.75,17.75,8.75,7.75,2297.25,603.25,340.5,4.177631578947368,17.75,250.25,170.5,3.75,345.5,9.75,1845.5,1872.75,5.25,11.0,361.0,79.5,6.0,4.0,5.5,6.5,11.5,12.0,364.25,1.75,2259.5,33.75,56.25,2.0,4.0,1016.75,11.5,16.25,10.75,689.25,1.4360465116279069,21.5,15.0,4.964285714285714,120.25,296.0,1467.75,686.5,75.0,1.875,72.5,532.5
26,2022,Liverpool,Manchester United,Anfield,1,9401.25,967.75,64.25,195.5,16.0,177.25,31.0,205.0,1146.75,9.75,37.0,740.0,212.0,15.5,26.5,6.0,15.75,2.25,23.0,7.75,20.75,25.75,5.0,3.5,20.0,9.75,9.0,2470.75,568.75,351.5,3.5,14.5,352.5,249.5,8.75,368.25,7.5,1878.5,1784.75,6.25,12.5,303.75,81.75,4.25,6.75,12.0,7.0,19.5,18.25,343.25,4.777027027027027,2887.25,10.5,59.5,2.818840579710145,4.9303797468354436,896.25,9.25,18.25,17.5,633.25,1.5813953488372092,18.0,18.5,4.714285714285714,126.5,268.75,1911.0,648.0,66.25,1.375,46.25,593.25,7892.25,745.5,50.25,137.0,11.75,215.75,10.25,140.5,955.75,8.25,39.5,672.5,245.75,14.5,22.75,4.25,8.0,1.5905797101449275,15.5,6.0,14.0,19.0,6.5,2.75,17.75,8.75,7.75,2297.25,603.25,340.5,4.177631578947368,17.75,250.25,170.5,3.75,345.5,9.75,1845.5,1872.75,5.25,11.0,361.0,79.5,6.0,4.0,5.5,6.5,11.5,12.0,364.25,1.75,2259.5,33.75,56.25,2.0,4.0,1016.75,11.5,16.25,10.75,689.25,1.4360465116279069,21.5,15.0,4.964285714285714,120.25,296.0,1467.75,686.5,75.0,1.875,72.5,532.5
33,2021,Liverpool,Manchester United,Anfield,1,9401.25,967.75,64.25,195.5,16.0,177.25,31.0,205.0,1146.75,9.75,37.0,740.0,212.0,15.5,26.5,6.0,15.75,2.25,23.0,7.75,20.75,25.75,5.0,3.5,20.0,9.75,9.0,2470.75,568.75,351.5,3.5,14.5,352.5,249.5,8.75,368.25,7.5,1878.5,1784.75,6.25,12.5,303.75,81.75,4.25,6.75,12.0,7.0,19.5,18.25,343.25,4.777027027027027,2887.25,10.5,59.5,2.818840579710145,4.9303797468354436,896.25,9.25,18.25,17.5,633.25,1.5813953488372092,18.0,18.5,4.714285714285714,126.5,268.75,1911.0,648.0,66.25,1.375,46.25,593.25,7892.25,745.5,50.25,137.0,11.75,215.75,10.25,140.5,955.75,8.25,39.5,672.5,245.75,14.5,22.75,4.25,8.0,1.5905797101449275,15.5,6.0,14.0,19.0,6.5,2.75,17.75,8.75,7.75,2297.25,603.25,340.5,4.177631578947368,17.75,250.25,170.5,3.75,345.5,9.75,1845.5,1872.75,5.25,11.0,361.0,79.5,6.0,4.0,5.5,6.5,11.5,12.0,364.25,1.75,2259.5,33.75,56.25,2.0,4.0,1016.75,11.5,16.25,10.75,689.25,1.4360465116279069,21.5,15.0,4.964285714285714,120.25,296.0,1467.75,686.5,75.0,1.875,72.5,532.5
19,2020,Liverpool,Manchester United,Anfield,2,9401.25,967.75,64.25,195.5,16.0,177.25,31.0,205.0,1146.75,9.75,37.0,740.0,212.0,15.5,26.5,6.0,15.75,2.25,23.0,7.75,20.75,25.75,5.0,3.5,20.0,9.75,9.0,2470.75,568.75,351.5,3.5,14.5,352.5,249.5,8.75,368.25,7.5,1878.5,1784.75,6.25,12.5,303.75,81.75,4.25,6.75,12.0,7.0,19.5,18.25,343.25,4.777027027027027,2887.25,10.5,59.5,2.818840579710145,4.9303797468354436,896.25,9.25,18.25,17.5,633.25,1.5813953488372092,18.0,18.5,4.714285714285714,126.5,268.75,1911.0,648.0,66.25,1.375,46.25,593.25,7892.25,745.5,50.25,137.0,11.75,215.75,10.25,140.5,955.75,8.25,39.5,672.5,245.75,14.5,22.75,4.25,8.0,1.5905797101449275,15.5,6.0,14.0,19.0,6.5,2.75,17.75,8.75,7.75,2297.25,603.25,340.5,4.177631578947368,17.75,250.25,170.5,3.75,345.5,9.75,1845.5,1872.75,5.25,11.0,361.0,79.5,6.0,4.0,5.5,6.5,11.5,12.0,364.25,1.75,2259.5,33.75,56.25,2.0,4.0,1016.75,11.5,16.25,10.75,689.25,1.4360465116279069,21.5,15.0,4.964285714285714,120.25,296.0,1467.75,686.5,75.0,1.875,72.5,532.5
23,2019,Liverpool,Manchester United,Anfield,1,9401.25,967.75,64.25,195.5,16.0,177.25,31.0,205.0,1146.75,9.75,37.0,740.0,212.0,15.5,26.5,6.0,15.75,2.25,23.0,7.75,20.75,25.75,5.0,3.5,20.0,9.75,9.0,2470.75,568.75,351.5,3.5,14.5,352.5,249.5,8.75,368.25,7.5,1878.5,1784.75,6.25,12.5,303.75,81.75,4.25,6.75,12.0,7.0,19.5,18.25,343.25,4.777027027027027,2887.25,10.5,59.5,2.818840579710145,4.9303797468354436,896.25,9.25,18.25,17.5,633.25,1.5813953488372092,18.0,18.5,4.714285714285714,126.5,268.75,1911.0,648.0,66.25,1.375,46.25,593.25,7892.25,745.5,50.25,137.0,11.75,215.75,10.25,140.5,955.75,8.25,39.5,672.5,245.75,14.5,22.75,4.25,8.0,1.5905797101449275,15.5,6.0,14.0,19.0,6.5,2.75,17.75,8.75,7.75,2297.25,603.25,340.5,4.177631578947368,17.75,250.25,170.5,3.75,345.5,9.75,1845.5,1872.75,5.25,11.0,361.0,79.5,6.0,4.0,5.5,6.5,11.5,12.0,364.25,1.75,2259.5,33.75,56.25,2.0,4.0,1016.75,11.5,16.25,10.75,689.25,1.4360465116279069,21.5,15.0,4.964285714285714,120.25,296.0,1467.75,686.5,75.0,1.875,72.5,532.5
