home_name,away_name,result,home_team_result,away_team_result,home_avg_odds,draw_avg_odds,away_avg_odds,season,date_start_timestamp
Arsenal,Everton,2:1,2,1,1.22,7.41,12.54,2023-2024,1716130800
Brentford,Newcastle,2:4,2,4,2.99,4.02,2.2,2023-2024,1716130800
Brighton,Manchester Utd,0:2,0,2,2.63,4.04,2.45,2023-2024,1716130800
Burnley,Nottingham,1:2,1,2,2.92,3.83,2.33,2023-2024,1716130800
Chelsea,Bournemouth,2:1,2,1,1.41,5.56,6.94,2023-2024,1716130800
Crystal Palace,Aston Villa,5:0,5,0,1.66,4.56,4.76,2023-2024,1716130800
Liverpool,Wolves,2:0,2,0,1.14,10.21,16.88,2023-2024,1716130800
Luton,Fulham,2:4,2,4,3.08,3.97,2.19,2023-2024,1716130800
Manchester City,West Ham,3:1,3,1,1.08,15.01,27.04,2023-2024,1716130800
Sheffield Utd,Tottenham,0:3,0,3,7.64,6.03,1.36,2023-2024,1716130800
Manchester Utd,Newcastle,3:2,3,2,2.74,4.0,2.4,2023-2024,1715799600
Brighton,Chelsea,1:2,1,2,3.29,4.12,2.07,2023-2024,1715798700
Tottenham,Manchester City,0:2,0,2,6.74,6.23,1.38,2023-2024,1715713200
Aston Villa,Liverpool,3:3,3,3,3.86,4.64,1.8,2023-2024,1715626800
Manchester Utd,Arsenal,0:1,0,1,9.16,6.21,1.31,2023-2024,1715527800
Nottingham,Chelsea,2:3,2,3,4.11,4.02,1.85,2023-2024,1715445000
Bournemouth,Brentford,1:2,1,2,2.12,3.91,3.28,2023-2024,1715436000
Everton,Sheffield Utd,1:0,1,0,1.44,5.1,7.13,2023-2024,1715436000
Newcastle,Brighton,1:1,1,1,1.6,4.81,4.95,2023-2024,1715436000
Tottenham,Burnley,2:1,2,1,1.33,6.33,8.01,2023-2024,1715436000
West Ham,Luton,3:1,3,1,1.85,4.27,3.84,2023-2024,1715436000
Wolves,Crystal Palace,1:3,1,3,3.23,3.57,2.25,2023-2024,1715436000
Fulham,Manchester City,0:4,0,4,11.29,7.32,1.24,2023-2024,1715427000
Crystal Palace,Manchester Utd,4:0,4,0,2.06,3.98,3.4,2023-2024,1715022000
Liverpool,Tottenham,4:2,4,2,1.44,5.74,6.06,2023-2024,1714923000
Brighton,Aston Villa,1:0,1,0,2.51,3.83,2.68,2023-2024,1714914000
Chelsea,West Ham,5:0,5,0,1.52,5.08,5.63,2023-2024,1714914000
Manchester City,Wolves,5:1,5,1,1.1,12.89,23.68,2023-2024,1714840200
Brentford,Fulham,0:0,0,0,2.08,3.86,3.4,2023-2024,1714831200
Burnley,Newcastle,1:4,1,4,3.41,4.1,2.01,2023-2024,1714831200
Sheffield Utd,Nottingham,1:3,1,3,4.87,4.26,1.69,2023-2024,1714831200
Arsenal,Bournemouth,3:0,3,0,1.22,7.25,12.73,2023-2024,1714822200
Luton,Everton,1:1,1,1,2.77,3.66,2.5,2023-2024,1714762800
Chelsea,Tottenham,2:0,2,0,2.46,4.03,2.63,2023-2024,1714674600
Nottingham,Manchester City,0:2,0,2,10.72,6.12,1.29,2023-2024,1714318200
Bournemouth,Brighton,3:0,3,0,1.97,4.12,3.52,2023-2024,1714309200
Tottenham,Arsenal,2:3,2,3,4.43,4.26,1.75,2023-2024,1714309200
Aston Villa,Chelsea,2:2,2,2,2.08,4.03,3.31,2023-2024,1714244400
Everton,Brentford,1:0,1,0,2.85,3.48,2.49,2023-2024,1714235400
Fulham,Crystal Palace,1:1,1,1,2.11,3.52,3.62,2023-2024,1714226400
Manchester Utd,Burnley,1:1,1,1,1.51,5.16,5.68,2023-2024,1714226400
Newcastle,Sheffield Utd,5:1,5,1,1.23,7.6,11.55,2023-2024,1714226400
Wolves,Luton,2:1,2,1,1.9,3.9,3.97,2023-2024,1714226400
West Ham,Liverpool,2:2,2,2,5.28,4.91,1.56,2023-2024,1714217400
Brighton,Manchester City,0:4,0,4,8.05,5.78,1.36,2023-2024,1714071600
Crystal Palace,Newcastle,2:0,2,0,3.13,3.67,2.27,2023-2024,1713985200
Everton,Liverpool,2:0,2,0,7.45,5.2,1.41,2023-2024,1713985200
Manchester Utd,Sheffield Utd,4:2,4,2,1.32,6.21,8.52,2023-2024,1713985200
Wolves,Bournemouth,0:1,0,1,2.79,3.67,2.5,2023-2024,1713984300
Arsenal,Chelsea,5:0,5,0,1.41,5.24,7.66,2023-2024,1713898800
Arsenal,Everton,2:1,2,1,1.22,7.41,12.54,2023-2024,1716130800
Brentford,Newcastle,2:4,2,4,2.99,4.02,2.2,2023-2024,1716130800
Brighton,Manchester Utd,0:2,0,2,2.63,4.04,2.45,2023-2024,1716130800
Burnley,Nottingham,1:2,1,2,2.92,3.83,2.33,2023-2024,1716130800
Chelsea,Bournemouth,2:1,2,1,1.41,5.56,6.94,2023-2024,1716130800
Crystal Palace,Aston Villa,5:0,5,0,1.66,4.56,4.76,2023-2024,1716130800
Liverpool,Wolves,2:0,2,0,1.14,10.21,16.88,2023-2024,1716130800
Luton,Fulham,2:4,2,4,3.08,3.97,2.19,2023-2024,1716130800
Manchester City,West Ham,3:1,3,1,1.08,15.01,27.04,2023-2024,1716130800
Sheffield Utd,Tottenham,0:3,0,3,7.64,6.03,1.36,2023-2024,1716130800
Manchester Utd,Newcastle,3:2,3,2,2.74,4.0,2.4,2023-2024,1715799600
Brighton,Chelsea,1:2,1,2,3.29,4.12,2.07,2023-2024,1715798700
Tottenham,Manchester City,0:2,0,2,6.74,6.23,1.38,2023-2024,1715713200
Aston Villa,Liverpool,3:3,3,3,3.86,4.64,1.8,2023-2024,1715626800
Manchester Utd,Arsenal,0:1,0,1,9.16,6.21,1.31,2023-2024,1715527800
Nottingham,Chelsea,2:3,2,3,4.11,4.02,1.85,2023-2024,1715445000
Bournemouth,Brentford,1:2,1,2,2.12,3.91,3.28,2023-2024,1715436000
Everton,Sheffield Utd,1:0,1,0,1.44,5.1,7.13,2023-2024,1715436000
Newcastle,Brighton,1:1,1,1,1.6,4.81,4.95,2023-2024,1715436000
Tottenham,Burnley,2:1,2,1,1.33,6.33,8.01,2023-2024,1715436000
West Ham,Luton,3:1,3,1,1.85,4.27,3.84,2023-2024,1715436000
Wolves,Crystal Palace,1:3,1,3,3.23,3.57,2.25,2023-2024,1715436000
Fulham,Manchester City,0:4,0,4,11.29,7.32,1.24,2023-2024,1715427000
Crystal Palace,Manchester Utd,4:0,4,0,2.06,3.98,3.4,2023-2024,1715022000
Liverpool,Tottenham,4:2,4,2,1.44,5.74,6.06,2023-2024,1714923000
Brighton,Aston Villa,1:0,1,0,2.51,3.83,2.68,2023-2024,1714914000
Chelsea,West Ham,5:0,5,0,1.52,5.08,5.63,2023-2024,1714914000
Manchester City,Wolves,5:1,5,1,1.1,12.89,23.68,2023-2024,1714840200
Brentford,Fulham,0:0,0,0,2.08,3.86,3.4,2023-2024,1714831200
Burnley,Newcastle,1:4,1,4,3.41,4.1,2.01,2023-2024,1714831200
Sheffield Utd,Nottingham,1:3,1,3,4.87,4.26,1.69,2023-2024,1714831200
Arsenal,Bournemouth,3:0,3,0,1.22,7.25,12.73,2023-2024,1714822200
Luton,Everton,1:1,1,1,2.77,3.66,2.5,2023-2024,1714762800
Chelsea,Tottenham,2:0,2,0,2.46,4.03,2.63,2023-2024,1714674600
Nottingham,Manchester City,0:2,0,2,10.72,6.12,1.29,2023-2024,1714318200
Bournemouth,Brighton,3:0,3,0,1.97,4.12,3.52,2023-2024,1714309200
Tottenham,Arsenal,2:3,2,3,4.43,4.26,1.75,2023-2024,1714309200
Aston Villa,Chelsea,2:2,2,2,2.08,4.03,3.31,2023-2024,1714244400
Everton,Brentford,1:0,1,0,2.85,3.48,2.49,2023-2024,1714235400
Fulham,Crystal Palace,1:1,1,1,2.11,3.52,3.62,2023-2024,1714226400
Manchester Utd,Burnley,1:1,1,1,1.51,5.16,5.68,2023-2024,1714226400
Newcastle,Sheffield Utd,5:1,5,1,1.23,7.6,11.55,2023-2024,1714226400
Wolves,Luton,2:1,2,1,1.9,3.9,3.97,2023-2024,1714226400
West Ham,Liverpool,2:2,2,2,5.28,4.91,1.56,2023-2024,1714217400
Brighton,Manchester City,0:4,0,4,8.05,5.78,1.36,2023-2024,1714071600
Crystal Palace,Newcastle,2:0,2,0,3.13,3.67,2.27,2023-2024,1713985200
Everton,Liverpool,2:0,2,0,7.45,5.2,1.41,2023-2024,1713985200
Manchester Utd,Sheffield Utd,4:2,4,2,1.32,6.21,8.52,2023-2024,1713985200
Wolves,Bournemouth,0:1,0,1,2.79,3.67,2.5,2023-2024,1713984300
Arsenal,Chelsea,5:0,5,0,1.41,5.24,7.66,2023-2024,1713898800
Fulham,Liverpool,1:3,1,3,4.59,4.43,1.69,2023-2024,1713713400
Aston Villa,Bournemouth,3:1,3,1,1.86,4.1,3.97,2023-2024,1713708000
Crystal Palace,West Ham,5:2,5,2,2.24,3.52,3.28,2023-2024,1713708000
Everton,Nottingham,2:0,2,0,2.27,3.33,3.44,2023-2024,1713702600
