Name,PlayerID,Nation,Position,Age,MathesPlayed,Starts,Minutes,MinutesDivided90,Goals,Assists,PenatlyMade,PenaltyAttempt,YellowCards,RedCards,xG,xAG,ProgressivePasses,ProgressiveCarriers,TeamId
YayaTouré,c204f844,CIV,MF,30.0,35,35,2.917,32.4,20.0,9.0,6.0,6.0,4.0,0.0,1.9429017160686428,1.3650546021840875,54.72698907956318,25.922932917316693,b8fd03ef
PabloZabaleta,6813ac34,ARG,"DF,MF",28.0,35,34,3.08,34.2,1.0,6.0,0.0,0.0,11.0,0.0,1.9429017160686428,1.3650546021840875,54.72698907956318,25.922932917316693,b8fd03ef
JoeHart,cb4f24c6,ENG,GK,26.0,31,31,2.79,31.0,0.0,0.0,0.0,0.0,1.0,0.0,1.9429017160686428,1.3650546021840875,54.72698907956318,25.922932917316693,b8fd03ef
Fernandinho,101da2b5,BRA,"DF,MF",28.0,33,29,2.608,29.0,5.0,3.0,0.0,0.0,8.0,0.0,1.9429017160686428,1.3650546021840875,54.72698907956318,25.922932917316693,b8fd03ef
SamirNasri,165bed61,FRA,"FW,MF",26.0,34,29,2.487,27.6,7.0,7.0,0.0,0.0,3.0,0.0,1.9429017160686428,1.3650546021840875,54.72698907956318,25.922932917316693,b8fd03ef
VincentKompany,d2bff301,BEL,DF,27.0,28,28,2.362,26.2,4.0,1.0,0.0,0.0,6.0,1.0,1.9429017160686428,1.3650546021840875,54.72698907956318,25.922932917316693,b8fd03ef
MartínDemichelis,e9c7102a,ARG,"DF,MF",32.0,27,27,2.43,27.0,2.0,1.0,0.0,0.0,6.0,0.0,1.9429017160686428,1.3650546021840875,54.72698907956318,25.922932917316693,b8fd03ef
DavidSilva,e2716bd0,ESP,"FW,MF",27.0,27,26,2.161,24.0,7.0,9.0,0.0,0.0,5.0,0.0,1.9429017160686428,1.3650546021840875,54.72698907956318,25.922932917316693,b8fd03ef
EdinDžeko,3bb7f478,BIH,FW,27.0,31,23,1.986,22.1,16.0,1.0,0.0,0.0,4.0,0.0,1.9429017160686428,1.3650546021840875,54.72698907956318,25.922932917316693,b8fd03ef
AleksandarKolarov,eda40760,SRB,DF,27.0,30,21,1.977,22.0,1.0,7.0,0.0,0.0,2.0,0.0,1.9429017160686428,1.3650546021840875,54.72698907956318,25.922932917316693,b8fd03ef
ÁlvaroNegredo,63b0ca6b,ESP,FW,27.0,32,21,1.723,19.1,9.0,3.0,0.0,0.0,1.0,0.0,1.9429017160686428,1.3650546021840875,54.72698907956318,25.922932917316693,b8fd03ef
SergioAgüero,4d034881,ARG,FW,25.0,23,20,1.528,17.0,17.0,6.0,0.0,1.0,4.0,0.0,1.9429017160686428,1.3650546021840875,54.72698907956318,25.922932917316693,b8fd03ef
JesúsNavas,3f10bd22,ESP,"DF,FW",27.0,29,18,1.75,19.4,4.0,7.0,0.0,0.0,0.0,0.0,1.9429017160686428,1.3650546021840875,54.72698907956318,25.922932917316693,b8fd03ef
GaëlClichy,450ad405,FRA,DF,28.0,20,18,1.662,18.5,0.0,0.0,0.0,0.0,1.0,0.0,1.9429017160686428,1.3650546021840875,54.72698907956318,25.922932917316693,b8fd03ef
JaviGarcía,167c1bb0,ESP,"DF,MF",26.0,29,14,1.545,17.2,0.0,0.0,0.0,0.0,7.0,0.0,1.9429017160686428,1.3650546021840875,54.72698907956318,25.922932917316693,b8fd03ef
JamesMilner,2f90f6b8,ENG,"DF,MF",27.0,31,12,1.374,15.3,1.0,4.0,0.0,0.0,3.0,0.0,1.9429017160686428,1.3650546021840875,54.72698907956318,25.922932917316693,b8fd03ef
MatijaNastasić,f35430a4,SRB,DF,20.0,13,11,1.029,11.4,0.0,0.0,0.0,0.0,4.0,0.0,1.9429017160686428,1.3650546021840875,54.72698907956318,25.922932917316693,b8fd03ef
JoleonLescott,62393d3b,ENG,DF,30.0,10,8,785.0,8.7,0.0,0.0,0.0,0.0,0.0,0.0,1.9429017160686428,1.3650546021840875,54.72698907956318,25.922932917316693,b8fd03ef
