season_id,playerId,info_position,info_shirtNum,info_positionInfo,info_loan,birth_date_label,birth_country_country,birth_place,age,name_display,id,_accurate_back_zone_pass,_accurate_chipped_pass,_accurate_cross,_accurate_cross_nocorner,_accurate_fwd_zone_pass,_accurate_launches,_accurate_long_balls,_accurate_pass,_accurate_through_ball,_accurate_throws,_aerial_lost,_aerial_won,_appearances,_attempted_tackle_foul,_attempts_conceded_ibox,_attempts_conceded_obox,_attempts_obox,_att_assist_openplay,_att_lf_total,_att_obox_blocked,_att_obx_centre,_att_openplay,_backward_pass,_ball_recovery,_big_chance_created,_blocked_cross,_blocked_pass,_blocked_scoring_att,_challenge_lost,_clean_sheet,_crosses_18yard,_crosses_18yardplus,_dispossessed,_draws,_duel_lost,_duel_won,_effective_blocked_cross,_effective_clearance,_effective_head_clearance,_final_third_entries,_fouled_final_third,_fouls,_fwd_pass,_game_started,_goals_conceded,_goals_conceded_ibox,_goals_conceded_obox,_head_clearance,_head_pass,_interception,_interceptions_in_box,_interception_won,_leftside_pass,_long_pass_own_to_opp,_long_pass_own_to_opp_success,_losses,_lost_corners,_mins_played,_offside_provoked,_offtarget_att_assist,_ontarget_att_assist,_open_play_pass,_outfielder_block,_overrun,_passes_left,_passes_right,_penalty_conceded,_pen_area_entries,_pen_goals_conceded,_poss_lost_all,_poss_lost_ctrl,_poss_won_att_3rd,_poss_won_def_3rd,_poss_won_mid_3rd,_put_through,_rightside_pass,_successful_final_third_passes,_successful_open_play_pass,_successful_put_through,_times_tackled,_total_att_assist,_total_back_zone_pass,_total_chipped_pass,_total_clearance,_total_contest,_total_cross,_total_cross_nocorner,_total_final_third_passes,_total_flick_on,_total_fwd_zone_pass,_total_launches,_total_long_balls,_total_offside,_total_pass,_total_pull_back,_total_scoring_att,_total_sub_off,_total_sub_on,_total_tackle,_total_through_ball,_total_throws,_touches,_touches_in_opp_box,_turnover,_unsuccessful_touch,_was_fouled,_winning_goal,_wins,_won_contest,_won_corners,_won_tackle,_yellow_card,season,per_wins
578,344622.0,D,37.0,Right Full Back,False,4 January 2000,England,London,23,Max Aarons,19970.0,119.0,10.0,3.0,3.0,92.0,2.0,12.0,208.0,1.0,64.0,9.0,4.0,10.0,6.0,104.0,43.0,1.0,4.0,1.0,1.0,1.0,1.0,66.0,54.0,0.0,6.0,4.0,1.0,8.0,1.0,5.0,3.0,6.0,3.0,37.0,54.0,6.0,11.0,2.0,38.0,6.0,9.0,123.0,9.0,18.0,15.0,3.0,2.0,22.0,4.0,1.0,4.0,74.0,41.0,21.0,6.0,9.0,794.0,3.0,1.0,3.0,272.0,5.0,4.0,7.0,81.0,1.0,19.0,2.0,113.0,113.0,4.0,33.0,17.0,16.0,17.0,52.0,200.0,4.0,11.0,4.0,151.0,26.0,11.0,13.0,8.0,8.0,78.0,1.0,137.0,11.0,32.0,2.0,280.0,1.0,1.0,2.0,1.0,20.0,2.0,76.0,479.0,7.0,9.0,9.0,22.0,0.0,1.0,8.0,2.0,12.0,1.0,2023,0.1
418,344622.0,D,37.0,Right Full Back,False,4 January 2000,England,London,21,Max Aarons,19970.0,461.0,23.0,9.0,9.0,395.0,10.0,36.0,847.0,2.0,251.0,50.0,14.0,34.0,5.0,336.0,179.0,6.0,17.0,8.0,1.0,6.0,13.0,219.0,154.0,2.0,25.0,60.0,6.0,18.0,4.0,33.0,17.0,23.0,6.0,151.0,163.0,25.0,71.0,32.0,134.0,6.0,27.0,456.0,32.0,69.0,62.0,7.0,32.0,47.0,28.0,4.0,28.0,367.0,157.0,71.0,24.0,39.0,2882.0,15.0,10.0,10.0,1080.0,19.0,13.0,11.0,335.0,2.0,93.0,6.0,470.0,470.0,5.0,110.0,39.0,60.0,55.0,211.0,833.0,20.0,57.0,20.0,555.0,80.0,71.0,68.0,50.0,50.0,308.0,2.0,592.0,67.0,141.0,1.0,1097.0,1.0,13.0,3.0,2.0,64.0,5.0,315.0,1962.0,26.0,38.0,38.0,52.0,0.0,4.0,34.0,12.0,44.0,8.0,2021,0.11764705882352941
274,344622.0,D,37.0,Right Full Back,False,4 January 2000,England,London,19,Max Aarons,19970.0,570.0,23.0,16.0,16.0,502.0,12.0,38.0,1056.0,,260.0,50.0,22.0,36.0,12.0,384.0,188.0,3.0,22.0,3.0,2.0,3.0,13.0,352.0,178.0,7.0,24.0,82.0,6.0,18.0,5.0,56.0,17.0,31.0,6.0,175.0,167.0,24.0,73.0,28.0,112.0,13.0,29.0,476.0,36.0,71.0,63.0,8.0,28.0,62.0,37.0,10.0,37.0,456.0,130.0,53.0,26.0,40.0,3240.0,7.0,13.0,10.0,1316.0,29.0,14.0,24.0,410.0,,77.0,4.0,530.0,530.0,5.0,126.0,47.0,82.0,55.0,250.0,1035.0,17.0,,23.0,694.0,78.0,73.0,99.0,73.0,73.0,331.0,3.0,718.0,93.0,153.0,3.0,1339.0,4.0,14.0,,,48.0,,299.0,2275.0,45.0,54.0,54.0,49.0,,4.0,48.0,20.0,30.0,7.0,2019,0.1111111111111111
489,345193.0,M,18.0,Midfielder,False,14 February 1999,United States,Wappingers Falls,23,Tyler Adams,42894.0,521.0,51.0,0.0,0.0,573.0,5.0,41.0,1094.0,1.0,14.0,15.0,26.0,24.0,22.0,210.0,99.0,4.0,24.0,1.0,2.0,4.0,2.0,197.0,199.0,1.0,4.0,48.0,2.0,29.0,5.0,0.0,2.0,18.0,8.0,109.0,143.0,4.0,25.0,7.0,176.0,4.0,37.0,483.0,24.0,36.0,32.0,4.0,7.0,107.0,35.0,3.0,35.0,371.0,148.0,89.0,11.0,8.0,2157.0,1.0,11.0,13.0,1269.0,8.0,,185.0,156.0,,27.0,2.0,293.0,293.0,17.0,70.0,112.0,64.0,276.0,242.0,1038.0,40.0,30.0,24.0,601.0,103.0,25.0,20.0,2.0,2.0,340.0,10.0,728.0,29.0,92.0,1.0,1327.0,,4.0,,,89.0,1.0,14.0,1699.0,6.0,28.0,28.0,21.0,0.0,5.0,8.0,1.0,46.0,4.0,2022,0.20833333333333334
578,258884.0,D,4.0,Centre Central Defender,False,24 September 1997,England,,26,Tosin Adarabioyo,13549.0,,,,,,,,,,,,,1.0,,5.0,1.0,,,,,,,,,,,,,,,,,,1.0,,,,4.0,3.0,,,,,,,,,3.0,,,,,,,,0.0,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,0.0,,,,4.0,,,,,,,,,,,,,,1.0,,,,5.0,,,,,0.0,0.0,,,,,2023,0.0
489,258884.0,D,4.0,Centre Central Defender,False,24 September 1997,England,,25,Tosin Adarabioyo,13549.0,701.0,52.0,1.0,1.0,358.0,9.0,90.0,1058.0,2.0,7.0,26.0,59.0,25.0,9.0,221.0,108.0,5.0,6.0,,1.0,4.0,4.0,62.0,110.0,,2.0,9.0,4.0,7.0,3.0,1.0,1.0,4.0,3.0,55.0,99.0,2.0,138.0,71.0,172.0,,17.0,522.0,23.0,39.0,37.0,2.0,71.0,136.0,26.0,6.0,26.0,473.0,268.0,168.0,11.0,16.0,2084.0,25.0,3.0,3.0,1233.0,15.0,1.0,49.0,190.0,,25.0,5.0,245.0,245.0,,65.0,45.0,15.0,227.0,110.0,1018.0,5.0,6.0,6.0,790.0,121.0,138.0,7.0,2.0,2.0,193.0,2.0,496.0,45.0,188.0,3.0,1284.0,,16.0,,2.0,30.0,2.0,7.0,1567.0,19.0,4.0,4.0,5.0,0.0,11.0,5.0,1.0,13.0,4.0,2022,0.44
363,258884.0,D,4.0,Centre Central Defender,False,24 September 1997,England,,23,Tosin Adarabioyo,13549.0,1242.0,76.0,,,400.0,17.0,118.0,1642.0,,5.0,39.0,83.0,33.0,11.0,243.0,129.0,,5.0,,,,1.0,82.0,143.0,,4.0,17.0,2.0,21.0,9.0,1.0,1.0,5.0,13.0,83.0,136.0,4.0,193.0,99.0,160.0,,16.0,682.0,33.0,41.0,38.0,3.0,99.0,165.0,42.0,9.0,42.0,485.0,348.0,230.0,15.0,23.0,2954.0,27.0,3.0,2.0,1870.0,20.0,,193.0,49.0,1.0,31.0,6.0,291.0,291.0,,97.0,46.0,17.0,656.0,90.0,1614.0,6.0,8.0,5.0,1349.0,158.0,193.0,14.0,2.0,2.0,188.0,4.0,558.0,70.0,252.0,2.0,1905.0,,18.0,1.0,,37.0,,7.0,2315.0,36.0,12.0,12.0,6.0,0.0,5.0,11.0,1.0,19.0,1.0,2020,0.15151515151515152
578,268672.0,F,11.0,Centre Striker,False,7 January 1998,England,,25,Elijah Adebayo,14685.0,10.0,1.0,,,32.0,,,42.0,,,14.0,11.0,10.0,1.0,50.0,18.0,,6.0,1.0,,,7.0,20.0,11.0,,0.0,2.0,2.0,,,1.0,1.0,6.0,2.0,41.0,19.0,0.0,7.0,7.0,6.0,,9.0,14.0,4.0,7.0,6.0,1.0,7.0,8.0,3.0,,3.0,12.0,5.0,3.0,7.0,,365.0,,,6.0,55.0,,2.0,12.0,5.0,,2.0,,55.0,55.0,2.0,3.0,6.0,3.0,9.0,24.0,42.0,2.0,20.0,6.0,14.0,2.0,7.0,18.0,2.0,2.0,31.0,2.0,43.0,1.0,1.0,4.0,55.0,,8.0,4.0,6.0,1.0,,,142.0,26.0,18.0,18.0,3.0,0.0,1.0,4.0,4.0,,,2023,0.1
578,315374.0,F,11.0,Left Winger,True,1 January 2002,Cote D’Ivoire,,21,Simon Adingra,126317.0,50.0,2.0,3.0,3.0,72.0,3.0,8.0,119.0,2.0,5.0,,3.0,9.0,5.0,41.0,24.0,3.0,4.0,2.0,,3.0,7.0,59.0,29.0,2.0,,6.0,1.0,8.0,,8.0,2.0,3.0,2.0,39.0,27.0,,2.0,2.0,7.0,,8.0,26.0,5.0,12.0,6.0,6.0,2.0,9.0,8.0,1.0,8.0,43.0,5.0,3.0,3.0,2.0,486.0,,2.0,3.0,137.0,,1.0,12.0,41.0,,13.0,2.0,66.0,66.0,3.0,18.0,8.0,8.0,12.0,45.0,116.0,6.0,23.0,5.0,59.0,4.0,2.0,30.0,10.0,10.0,53.0,2.0,91.0,5.0,12.0,4.0,140.0,,7.0,3.0,4.0,11.0,3.0,6.0,243.0,17.0,13.0,13.0,3.0,0.0,4.0,10.0,4.0,8.0,,2023,0.4444444444444444
363,161346.0,G,13.0,Goalkeeper,False,3 January 1987,Spain,Sevilla,33,Adrián,4852.0,54.0,5.0,,,6.0,4.0,10.0,60.0,,,,1.0,3.0,,24.0,13.0,,,,,,,,26.0,,,,,,1.0,,,,1.0,,1.0,,6.0,,5.0,,,32.0,3.0,9.0,7.0,2.0,,,,,,26.0,19.0,6.0,1.0,4.0,270.0,,,,50.0,,,5.0,3.0,,,,22.0,22.0,,2.0,,,22.0,,36.0,,0.0,,61.0,7.0,6.0,,,,5.0,,19.0,17.0,27.0,,80.0,,,,,,,,116.0,,,,,0.0,1.0,,,,,2020,0.3333333333333333
