TeamId,SeasonRank,Team,Games,Wins,Ties,Losses,GoalScored,GoalAgainst,GoalDiff,Points,PointsAVG,AttendanceHomePerGame,TopTeamScorer,TopTeamGoals,Season
b8fd03ef,1,ManchesterCity,38,27,5,6,102,37,+65,86,2.26,"47,075",c204f844,20,2013-2014
822bd0ba,2,Liverpool,38,26,6,6,101,50,+51,84,2.21,"44,671",a6154613,31,2013-2014
cff3d9bb,3,Chelsea,38,25,7,6,71,27,+44,82,2.16,"41,482",a39bb753,14,2013-2014
18bb7c10,4,Arsenal,38,24,7,7,68,41,+27,79,2.08,"60,013",16ceb862,16,2013-2014
d3fd31cc,5,Everton,38,21,9,8,61,39,+22,72,1.89,"37,732",5eae500a,15,2013-2014
361ca564,6,Tottenham,38,21,6,11,55,51,+4,69,1.82,"35,808",936d9e3e,11,2013-2014
19538871,7,ManchesterUtd,38,19,7,12,64,43,+21,64,1.68,"75,207",f07be45a,17,2013-2014
33c895d4,8,Southampton,38,15,11,12,54,46,+8,56,1.47,"30,212",4ab53cdb,15,2013-2014
17892952,9,StokeCity,38,13,11,14,45,52,-7,50,1.32,"26,137",aff418dc,8,2013-2014
b2b47a98,10,NewcastleUtd,38,15,4,19,43,59,-16,49,1.29,"50,395",5c2da10f,14,2013-2014
47c64c55,11,CrystalPalace,38,13,6,19,33,48,-15,45,1.18,"24,375",e58a03c6,7,2013-2014
fb10988f,12,SwanseaCity,38,11,9,18,54,54,0,42,1.11,"20,407",61abe9b6,16,2013-2014
7c21e445,13,WestHam,38,11,7,20,40,51,-11,40,1.05,"34,197",3d307105,7,2013-2014
8ef52968,14,Sunderland,38,10,8,20,41,60,-19,38,1.00,"41,090",1ba61951,8,2013-2014
8602292d,15,AstonVilla,38,10,8,20,39,61,-22,38,1.00,"36,081",ab070c55,10,2013-2014
bd8769d1,16,HullCity,38,10,7,21,38,53,-15,37,0.97,"24,117",1a29f38c,5,2013-2014
60c6b05f,17,WestBrom,38,7,15,16,43,59,-16,36,0.95,"25,194",25b166d0,5,2013-2014
1c781004,18,NorwichCity,38,8,9,21,28,62,-34,33,0.87,"26,805",b73ce4ba,6,2013-2014
fd962109,19,Fulham,38,9,5,24,40,85,-45,32,0.84,"24,977",ed083afd,7,2013-2014
75fae011,20,CardiffCity,38,7,9,22,32,74,-42,30,0.79,"27,430",37c408cc,7,2013-2014
cff3d9bb,1,Chelsea,38,26,9,3,73,32,+41,87,2.29,"41,546",a190d597,20,2014-2015
b8fd03ef,2,ManchesterCity,38,24,7,7,83,38,+45,79,2.08,"45,365",4d034881,26,2014-2015
18bb7c10,3,Arsenal,38,22,9,7,71,36,+35,75,1.97,"59,992",2c0f8e9e,16,2014-2015
19538871,4,ManchesterUtd,38,20,10,8,62,37,+25,70,1.84,"75,335",f07be45a,12,2014-2015
361ca564,5,Tottenham,38,19,7,12,58,53,+5,64,1.68,"35,728",21a66f6a,21,2014-2015
822bd0ba,6,Liverpool,38,18,8,12,52,48,+4,62,1.63,"44,659",caeb5442,9,2014-2015
33c895d4,7,Southampton,38,18,6,14,54,33,+21,60,1.58,"30,741",9654d8de,12,2014-2015
fb10988f,8,SwanseaCity,38,16,8,14,46,49,-3,56,1.47,"20,555",61abe9b6,9,2014-2015
17892952,9,StokeCity,38,15,9,14,48,45,+3,54,1.42,"27,081",7f4f3e49,11,2014-2015
47c64c55,10,CrystalPalace,38,13,9,16,47,51,-4,48,1.26,"24,421",f2f29dda,7,2014-2015
d3fd31cc,11,Everton,38,12,11,15,48,50,-2,47,1.24,"37,406",5eae500a,10,2014-2015
7c21e445,12,WestHam,38,12,11,15,44,47,-3,47,1.24,"34,846",57c433c8,10,2014-2015
60c6b05f,13,WestBrom,38,11,11,16,38,51,-13,44,1.16,"25,064",25b166d0,14,2014-2015
a2d435b3,14,LeicesterCity,38,11,8,19,46,55,-9,41,1.08,"31,693",eed56f6c,11,2014-2015
b2b47a98,15,NewcastleUtd,38,10,9,19,40,63,-23,39,1.03,"50,359",40f3ff51,11,2014-2015
8ef52968,16,Sunderland,38,7,17,14,31,53,-22,38,1.00,"43,157",2c9c3502,5,2014-2015
8602292d,17,AstonVilla,38,10,8,20,31,57,-26,38,1.00,"34,133",ab070c55,13,2014-2015
bd8769d1,18,HullCity,38,8,11,19,33,51,-18,35,0.92,"23,557",1a29f38c,8,2014-2015
943e8050,19,Burnley,38,7,12,19,28,53,-25,33,0.87,"19,131",07802f7f,11,2014-2015
a757999c,20,QPR,38,8,6,24,42,73,-31,30,0.79,"17,809",8d228291,18,2014-2015
a2d435b3,1,LeicesterCity,38,23,12,3,68,36,+32,81,2.13,"31,998",45963054,24,2015-2016
18bb7c10,2,Arsenal,38,20,11,7,65,36,+29,71,1.87,"59,944",16ceb862,16,2015-2016
361ca564,3,Tottenham,38,19,13,6,69,35,+34,70,1.84,"35,776",21a66f6a,25,2015-2016
b8fd03ef,4,ManchesterCity,38,19,9,10,71,41,+30,66,1.74,"54,041",4d034881,24,2015-2016
19538871,5,ManchesterUtd,38,19,9,10,49,35,+14,66,1.74,"75,286",8b788c01,11,2015-2016
33c895d4,6,Southampton,38,18,9,11,59,41,+18,63,1.66,"30,751",c691bfe2,11,2015-2016
7c21e445,7,WestHam,38,16,14,8,65,51,+14,62,1.63,"34,910",58ae47b2,9,2015-2016
822bd0ba,8,Liverpool,38,16,12,10,63,50,+13,60,1.58,"43,910",4c370d81,10,2015-2016
17892952,9,StokeCity,38,14,9,15,41,55,-14,51,1.34,"27,534",00459419,11,2015-2016
cff3d9bb,10,Chelsea,38,12,14,12,59,53,+6,50,1.32,"41,500",a190d597,12,2015-2016
d3fd31cc,11,Everton,38,11,14,13,59,55,+4,47,1.24,"38,124",5eae500a,18,2015-2016
fb10988f,12,SwanseaCity,38,12,11,15,42,52,-10,47,1.24,"20,711",5dbefa9d,12,2015-2016
